"Uniprot_ID","protein_names","gene_names","main_gene","pVal","BH_pVal","fold_change","log_fold_change"
"P12382","ATP-dependent 6-phosphofructokinase, liver type","Pfkl","Pfkl",4.32152771852672e-56,2.47104954945358e-52,1.96418890044374,0.973933683536663
"P26039","Talin-1","Tln1","Tln1",2.1901838489645e-52,4.17449041612635e-49,0.600193117008071,-0.73650132062837
"Q61599","Rho GDP-dissociation inhibitor 2","Arhgdib","Arhgdib",1.6035007864137e-52,4.17449041612635e-49,0.261403978877749,-1.93564699406194
"P24549","Retinal dehydrogenase 1","Aldh1a1","Aldh1a1",7.62181764775585e-51,1.0895388327467e-47,0.488580410141144,-1.03333207565143
"Q9D154","Leukocyte elastase inhibitor A","Serpinb1a","Serpinb1a",2.19512994180656e-50,2.51035060144998e-47,0.315566784096289,-1.66398273662558
"Q8K0U4","Heat shock 70 kDa protein 12A","Hspa12a","Hspa12a",7.30282370251401e-50,6.95959098849585e-47,0.390207120622272,-1.35768798994732
"Q9JHI5","Isovaleryl-CoA dehydrogenase, mitochondrial","Ivd","Ivd",6.34207565444178e-49,5.18056979887116e-46,0.535627877356051,-0.900697045583055
"Q4FK57","ERO1-like protein alpha","Ero1l","Ero1l",8.66570252076117e-49,6.19381087671404e-46,2.19292135051865,1.13285407044678
"A0A0G2JEK2","Cysteine-rich protein 1","Crip1","Crip1",9.43069711313637e-48,5.99163623254597e-45,0.221789094320182,-2.17273966697568
"P24472","Glutathione S-transferase A4","Gsta4","Gsta4",1.50216612766326e-47,8.58938591797852e-45,0.372246052843675,-1.42567154379133
"P17879","Heat shock 70 kDa protein 1B","Hspa1b","Hspa1b",2.25217706113101e-47,1.17072258504974e-44,1.84087714375549,0.880393347486836
"Q3TG37","Na(+)/H(+) exchange regulatory cofactor NHE-RF;Na(+)/H(+) exchange regulatory cofactor NHE-RF1","Slc9a3r1","Slc9a3r1",1.15059053876943e-46,5.48256391723632e-44,0.371666620660583,-1.42791896915698
"O09131","Glutathione S-transferase omega-1","Gsto1","Gsto1",2.56169689831513e-46,1.12675252804353e-43,0.393204374152927,-1.34664872403889
"A2AD85","Serine/threonine-protein kinase 26","Stk26","Stk26",3.45521221771856e-46,1.41120739006534e-43,0.560463734670013,-0.835307069768154
"P16125","L-lactate dehydrogenase B chain;L-lactate dehydrogenase","Ldhb","Ldhb",9.13164211556914e-46,3.48098197445496e-43,0.353890081556902,-1.49862676683202
"B9EHJ3","","Tjp1","Tjp1",1.22841086993862e-45,4.39003334644314e-43,0.700777333612679,-0.512971982638663
"Q6GT24","Peroxiredoxin-6","Prdx6","Prdx6",1.60078642459757e-45,5.38429222108759e-43,0.607300257651946,-0.719518113624444
"O70318","Band 4.1-like protein 2","Epb41l2;Epb4.1l2","Epb41l2",2.6886558658888e-45,8.54096346730677e-43,1.4727681931452,0.55853037476135
"O08807","Peroxiredoxin-4","Prdx4","Prdx4",4.05443079643133e-45,1.22017027863128e-42,1.61248428354508,0.689285099040029
"Q6P9Q6","FK506-binding protein 15;Peptidyl-prolyl cis-trans isomerase","Fkbp15","Fkbp15",6.63695198446645e-45,1.89750457235896e-42,0.605891190067073,-0.722869366610754
"Q91YN9","BAG family molecular chaperone regulator 2","Bag2","Bag2",2.17470577800565e-44,5.9214131612554e-42,2.66094209463964,1.41193711588994
"Q3TFD0","Serine hydroxymethyltransferase","Shmt2","Shmt2",2.48452578937779e-44,6.45750839257372e-42,2.05777564901539,1.04108569958052
"B9EHZ5","MAGUK p55 subfamily member 6","Mpp6","Mpp6",3.31288260220167e-44,8.23611422582137e-42,0.497166814454633,-1.00819809419198
"Q99MQ1","Protein bicaudal C homolog 1","Bicc1","Bicc1",6.85480973733313e-44,1.63315841991962e-41,0.611048728654426,-0.710640661185546
"Q5SWZ5","","Mprip","Mprip",2.42076570987374e-43,5.53677533162322e-41,0.704865729059969,-0.504579632366562
"Q9D7X8","Gamma-glutamylcyclotransferase","Ggct","Ggct",2.63621752306291e-43,5.79765069110529e-41,0.495254514200094,-1.01375796967788
"G3X9S2","Ectonucleotide pyrophosphatase/phosphodiesterase family member 1;Alkaline phosphodiesterase I;Nucleotide pyrophosphatase","Enpp1","Enpp1",1.01245439195806e-42,2.06757650472006e-40,5.21744073931492,2.38334230907327
"Q8K297","Procollagen galactosyltransferase 1","Colgalt1","Colgalt1",1.00124844614064e-42,2.06757650472006e-40,1.47467294827716,0.560395030259921
"Q80ZZ0","EH domain-containing protein 1","Ehd1","Ehd1",1.21967251383712e-42,2.40485773590367e-40,0.606023225593616,-0.722555009428999
"Q921K8","TRPM8 channel-associated factor 2","Tcaf2","Tcaf2",2.15187894653818e-42,4.10148127210178e-40,0.476589106842622,-1.06918211793687
"Q4FJR9","Ubiquitin-like protein ISG15","Isg15","Isg15",2.71735742417414e-42,5.01220959723475e-40,3.95233878995897,1.98270661839139
"Q6ZWS7","Calcium/calmodulin-dependent protein kinase type II subunit gamma","Camk2g","Camk2g",5.11631123828223e-42,9.14220864390556e-40,1.66371846680546,0.734411322356845
"Q8VDD5","Myosin-9","Myh9","Myh9",5.43193402968414e-42,9.41206023688906e-40,1.25667773532123,0.329614729899621
"D3YXG0","","Hmcn1","Hmcn1",6.13004982573826e-42,1.03093014422269e-39,0.357530916458335,-1.48386009469534
"Q99KK7","Dipeptidyl peptidase 3","Dpp3","Dpp3",6.49630538523528e-42,1.06131069122215e-39,0.736822642722814,-0.440610698439133
"P58871","182 kDa tankyrase-1-binding protein","Tnks1bp1","Tnks1bp1",7.51811708445712e-42,1.19412759691461e-39,0.71726296269329,-0.479425958635372
"Q9Z2Q6","Septin-5","Sept5","Sept5",1.05406023067735e-41,1.62895037811164e-39,1.67855036837257,0.747215828731061
"Q6GQU1","Hexokinase;Hexokinase-1","Hk1","Hk1",1.52343289361293e-41,2.2923656014944e-39,1.7305891510768,0.791263263666592
"Q9DD05","Delta-aminolevulinic acid dehydratase","Alad","Alad",4.41953977534028e-41,6.47972523984505e-39,0.321625433616934,-1.63654659787868
"Q61107","Guanylate-binding protein 4","Gbp4","Gbp4",1.17028064267492e-40,1.6729161787038e-38,2.40554561395377,1.26636415606158
"G3X9D9","Involucrin","Ivl","Ivl",1.23726744901924e-40,1.72553543255903e-38,0.186924698684524,-2.41947088741225
"A0A0J9YTY0","Septin-11","Sept11","Sept11",1.41314083709603e-40,1.92389031107502e-38,1.59447719780633,0.673083466140219
"Q80X90","Filamin-B","Flnb","Flnb",1.46133084712488e-40,1.94323018229303e-38,1.66978829100795,0.739665197983977
"F8VPN4","","Agl","Agl",1.72150063052045e-40,2.23716831938998e-38,1.39841532062038,0.483792895773497
"P38647","Stress-70 protein, mitochondrial","Hspa9","Hspa9",1.89999399479394e-40,2.41425903605149e-38,1.56000845737877,0.64155385048838
"Q80YP5","Integrin alpha-5;Integrin alpha-5 heavy chain;Integrin alpha-5 light chain","Itga5","Itga5",1.94665378323365e-40,2.41977528968043e-38,1.73819728096941,0.797591833662102
